UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
44;9;1;2025;0;1;1;2;3;2;2;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;600000; ; ;6; ;6;6;1;1;6;6;1;1;1;1;6;1;6;6;6;6;6;6;6;6;6;4;120;3;0
44;11;1;2025;0;1;3;5;8;1;7;4;4;6;6;1;1;2;1;2;1;6;1;1;1;1;4;2;4; ;2500000; ; ;6; ;1;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;6;6;4;91;3;0
44;12;1;2025;0;1;2;1;3;1;2;2;4;5;6;5; ;2;11;7;1;6;1;1;1;1;4;2;1;1; ;2000000; ;1;2400000;1;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;2;72;3;0
44;21;1;2025;0;1;1;0;1;2;2;1;4;5;6;1;1;2;1;2;1;6;1;1;1;1;4;2;4; ;1400000; ; ;6; ;6;1;1;1;6;6;6;1;6;1;6;1;6;6;6;6;6;1;6;6;6;1;98;3;0
44;24;1;2025;0;1;0;1;1;2;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1200000; ; ;6; ;1;6;1;1;6;6;1;6;1;1;6;1;6;6;6;1;1;6;1;6;6;1;77;3;0
44;33;1;2025;0;1;1;2;3;1;6;4;4;5;1;1;1;2;1;2;1;6;1;1;1;1;4;2;1;1; ;3500000; ;1;1800000;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;2;81;3;0
44;44;1;2025;0;1;0;2;2;2;2;1;4;5;6;1;1;2;1;2;1;6;1;1;1;1;4;2;4; ;1400000; ; ;6; ;6;6;6; ; ;6;1;1;1;1;6;1;6;6;1;6;6;1;1;6;6;4;82;3;0
44;46;1;2025;0;1;0;3;3;2;2;1;4;5;6;1;1;2;1;2;1;6;1;1;1;1;2;2;4; ;750000; ; ;6; ;6;6;6; ; ;6;1;1;1;6;6;6;6;6;1;6;6;6;1;6;6;3;88;2;1
44;64;1;2025;0;1;4;2;6;1;4;3;4;5;1;1;1;2;1;2;1;6;1;1;2;1;4;2;4; ;1000000; ; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;1;1;6;1;2;100;3;0
44;69;1;2025;0;1;0;1;1;2;1;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;750000; ; ;6; ;1;1;1;6;1;6;6;1;6;1;6;6;6;1;6;6;6;6;1;6;6;1;120;3;0
